t(s)	Amplitude
0.0000000000	0.0000000000
0.0001000000	0.0000000000
0.0002000000	0.0000000000
0.0003000000	0.0000000000
0.0004000000	0.0000000000
0.0005000000	0.0000000000
0.0006000000	0.0000000000
0.0007000000	0.0000000000
0.0008000000	0.0000000000
0.0009000000	0.0000000001
0.0010000000	0.0000000002
0.0011000000	0.0000000005
0.0012000000	0.0000000010
0.0013000000	0.0000000019
0.0014000000	0.0000000035
0.0015000000	0.0000000062
0.0016000000	0.0000000106
0.0017000000	0.0000000175
0.0018000000	0.0000000279
0.0019000000	0.0000000433
0.0020000000	0.0000000656
0.0021000000	0.0000000970
0.0022000000	0.0000001403
0.0023000000	0.0000001992
0.0024000000	0.0000002776
0.0025000000	0.0000003804
0.0026000000	0.0000005131
0.0027000000	0.0000006822
0.0028000000	0.0000008947
0.0029000000	0.0000011584
0.0030000000	0.0000014820
0.0031000000	0.0000018746
0.0032000000	0.0000023461
0.0033000000	0.0000029067
0.0034000000	0.0000035670
0.0035000000	0.0000043379
0.0036000000	0.0000052302
0.0037000000	0.0000062545
0.0038000000	0.0000074211
0.0039000000	0.0000087398
0.0040000000	0.0000102195
0.0041000000	0.0000118684
0.0042000000	0.0000136930
0.0043000000	0.0000156990
0.0044000000	0.0000178900
0.0045000000	0.0000202681
0.0046000000	0.0000228335
0.0047000000	0.0000255842
0.0048000000	0.0000285164
0.0049000000	0.0000316236
0.0050000000	0.0000348975
0.0051000000	0.0000383274
0.0052000000	0.0000419003
0.0053000000	0.0000456014
0.0054000000	0.0000494136
0.0055000000	0.0000533180
0.0056000000	0.0000572941
0.0057000000	0.0000613200
0.0058000000	0.0000653723
0.0059000000	0.0000694270
0.0060000000	0.0000734591
0.0061000000	0.0000774435
0.0062000000	0.0000813548
0.0063000000	0.0000851680
0.0064000000	0.0000888586
0.0065000000	0.0000924031
0.0066000000	0.0000957790
0.0067000000	0.0000989654
0.0068000000	0.0001019432
0.0069000000	0.0001046952
0.0070000000	0.0001072064
0.0071000000	0.0001094644
0.0072000000	0.0001114592
0.0073000000	0.0001131835
0.0074000000	0.0001146328
0.0075000000	0.0001158054
0.0076000000	0.0001167026
0.0077000000	0.0001173282
0.0078000000	0.0001176890
0.0079000000	0.0001177942
0.0080000000	0.0001176557
0.0081000000	0.0001172874
0.0082000000	0.0001167056
0.0083000000	0.0001159282
